,mobile_names,asin,body,star
29,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good product value money phone everything average display good battery life also good bought employee mine overall good phone 464 combo hard find price range exceeded expectations,5
30,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good,5
31,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, g35 ok day day usage highly capable,3
32,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, worst product ever camera quality poort rear well front amazon ready take return new policy replacement policy get replacement wont take back bought sale heard friends redmi phones good aint suggest buy amazon better go buy store atleast take 500rs exchange product speaker poor hear properly speaker product worth price range one get better options payin 10002000 bucks extra,1
33,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good,4
34,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, ok kind phone camera pathetic expect type camera phone even old redmi 4a mobile better camera apart camera could see lag screen moving different pages though 4gb ram better choose phone notification light micro usb charging port night mode cameraupdate using 20 days phone gets lagging time matter ever app use completely waste money buy mobile,1
35,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, samsung 4gb ram battery back good redmi much space app ram speed slow battery back draing day happy redmi product return amazon 7 days unfortunately building effected covid possiitive totally issulated one contact us cant able send return mobile,2
36,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, best mobile 10000 ,5
37,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, best mobile best service currior boy,5
38,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, overall good mobilebut camera good expectedoverall performance good value money,4
39,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, redmi9too many disadvantagescamera quality worstboth front rearprocessor slowbody plastic uselessdisplay quality badmicro usb charger wonder since model new phones coming cport phone old model micro usb portvideo calling issueheating issue charge aswell callyou cant video call many issueand cant return phone amazontotally phone gutterchap quality,1
40,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, charging adapter came phone turned defective stopped working 2 weeks purchasedont know return adapter claim warranty adapter alonephone working fine far looks good,3
41,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, xiaomi provided magnificent smartphone low budget section increadible feature great visual astheticspros1 4gb ddr4 ram faster sd 6xx series2 64gb storage3 9000 inr4 5000 mah battery however chipset consume battery compared sd 4000mah battery perform same5 fast charging support definitely buy fast charger great experience6 miui 12 simply clean loaded features seamlessly switch provios mi phonecons1 battery sucking chipset helio g35 optimize gaming2 lack notifications lightsmall deadly features miss quite often3 264ppi display 720p resolution looks crupmy huge size4 poor quality made india accesories5 building quality poor well camera dissatisfied6 useless camera bump 2 poor camera marketing showing 3 circles7 loaded bloatware adware unauthorised data transfer chinaif possible go motorola e7 around price great experience snapdragon clean android experience,3
42,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, suggestion everyone thinking buy redmi 9 please dont buyredmi trust brand redmi 9i purchased phone 3weeks ago first good condition 3 week started hang every morning 4 days phone completely shutdowni dont know getting one month happenedits getting really hurt use phone,1
43,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, first bought dad old mi 5a got 6800 onlyplease dont buy 9000my review scores arebattery backup 1010storage 1010camera rear710front510sensers 1010build quality 1010looks 1010performance 910not gaming type phone cause g35overall suggestion buy ifyou normal user wants long battery backupwafbinstauthoobcallslooks mattersyou selfielover type personyou shouldnt buy ifyou hardcore needs like video editingcoding designingyou hardcore gameryou selfie wala personthankyoups consider redmi 9 prime second category,4
44,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, poor cameraits look like jio 1500 camera supplier responded regarding issue,1
45,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good product budget honest review 5 days usagedisplay 45camera 385 good budgetaudio quality 55finger print sensor 55face id 55it good processor hello g35 good even redmi gave hyper engine technology good playing mild games surprisingly sar value low awesome dont try play heavy games sometime get hang battery life awesome get upto max 2 days battery backup mild usagethe problem give usb type c cable budget big issuemainly recommend product love study online platform,5
46,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, battery performance good camera quality good also brightness device dont want mobile,1
47,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, phone calling whats app youtubei gifted phone mother per usage felt okayworst part camera even redmi note 4 seriously felt note 4 camera much better redmi 9i got phone 7500,2
48,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, best,5
49,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, phone hang application doesnt work properlypls dont buy try return lots stages proceduresthe performance phone badredmi provide 4gb ram 2 gb experiencepoor network connectivity times showing blank screenvery waste productsand big lose money,1
50,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good product low price thanks amazon redmi mobile productexcellent looks colour awesome featuresi love product much thanks amazon,4
51,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, phone good works smooth camera disappointing,4
52,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, nice product,5
53,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, never trust redmi,1
54,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, waste money 1 camera quality poor even 5k range phone camera better this2 full features miui 12 clock icon realtime like mi phones one hand mode part miui 12 u cant operate phone single hand3 display also poor means pixelated true colors4 fm wireless works wired headphone,1
55,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, price low along exchange offer winner one likes keep old phone buy new one dont mobile phones keep piling home bought mywife pretty pleased buythis indeed value money keep mind needs phone,5
56,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, bought unboxed itits budget friendly smartphone box contains smart phonesim ejecter pin10 w chargermicro usb cable charginghd plus displayand operating system xiaomi latest user interface mi ui12 water coating price range display sound badand better experiencedemerrits fast charger ir blaster feature availableit big demerrits price amazing smartphonei liked phone recommend friends budget smartphonenow many phones provided everything good redmi 9i repeat budget smartphone recommend friends anything missed discuss sorry thankfully amazon customer amazon lover,5
57,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, amazing product thanks,5
58,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, option would 35its 2 days since got phone positive negatives comparison redmi 8a dual previous phonebattery charging first 3040 quick charging get fully charged takes almost hourbattery life runs 24 hours fully charged even use watch movies gamesnegative phone gets heated charging leave cushion type surfaces like bed sofa etc irrespective surface phone gets little bit heated every time charge try answering call use phone charge get ready hand ear burning sensationthis observered redmi 8a dual battery life less competed redmi 9 person uses mobile charge wont recommend redmi 9camera quality buying phone camera redmi 8a dual better selfi rear camera quality selfie camera worst rear works perfect lighting try zoom objects looses qualitystorage go itvolume good compared redmi 8a dual little bit lowoverall redmi 8a dual much better redmi 9 except storage battery life,3
59,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, would like take mins write review phone amazon service alert everyone please phone would like peaceworst camera clarity even worse phone conditionphone heating chargingon top amazon service worse ever resolve new phone samsungdisgusting customer service professional mannerism agent amazon,1
60,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, mobile screen goodbattery backup excelentdaily usage goodgaming experience laggy pubg call duty almost possible play gameit 4gb ram still good enough handle gamescamera quality worst even near expectationschineses knows well attract indians camera megapixel camera filter sound big screen common attractive looksfor normal usage like calling messaging whatsapp device enoughif game lover photography lover device youif want decent android mobile daily usage good,3
61,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good product nice lookingsuper,5
62,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, love mobile redmi 9 beautiful mobile law budgget,5
63,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good option realme narzo 10a c3,4
64,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, 2 problem typec port ir blaster,4
65,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, product good protection back cover provided available market modelpl provide suitable simple back case minium protection,4
66,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, value money product redmi9 best mobile rate comes 23ghz clock speed 4gb ram smooth liked battery capacity much play pubg continue 5 hours full happy buyed mobile love mi brand muchredmi9izlub,5
67,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, product nicebattery life also goodapart camera quality apto mark overall value money productonly issue provide tempered glass back cover along handsetthey provide 2 things togetheroverall finethanks,4
68,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, best budget phonedear customers please remember price always directly propotional qualitythis low price model lacks type c charging port type c port old pinsound quality really worstmy sincere advice spend 1000 go mi 9 pro,3
69,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, till date one worst phone ever purchaseddefinitely recommendeddoesnt support split screen using two apps simultaneouslyea games keeps hanging phonecamera quality worst,1
70,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good phone price categorypros screen size good use 1 hand also look phone good compare others phone category phone havent used much 5000 mah battery would goodcons found back side 2 camera one camera dummy printsuggestion better go 128 gb mine 64gb,4
71,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, using since phone since week completely good experience camera got best potential best display battery speakers value money redmi9 best mobile overall best mobile,5
72,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, primary phone screen shattered due lockdown im unable fix itordered redmi 9 amazon delivered 1day miracle timesgreat phone price really happy performance never heats battery last 2 days heavy usecamera poor qualityso buying camera consider higher modelshighly impressed pricego,4
73,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, ignore review end regretting camera quality phone worse youd ever click selfie youll look old person color texture say budget phone thats true even simple one megapixel camera 100 times better camera exaggeratingbattery also bit weak dont buy,1
74,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, writing review 3 months usage1 look fell product good2 fingerprint sensor bit laggy sometimes didnt read fingerprints3 performance ok cant say slow want fast performance go something else4 camera quality ok good bad5 battery life goodi bought mom serve purposeif want use capabilities smart phone please look something else,3
75,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N," browser support html5 video


 first worst experience amazon purchasing mobile small creamish spot inside screen could manufacturing defect could result improper handling even replacement got defective piece screen tint issue left side camera video posted dropped amazon went flipkart",2
76,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, phone value moneythe camera worst ever seen redmi phonebattery okthe display quality bad hd watching videos youtube feels like watching 3gp videosmobile display ok lookwise good qualitysometimes 4gb ram feels like 2gbi disappointed camera quality phone12 megapixel feels like 2mp camera back plastic body feels like cheap phoneif really need phone many options marketif taking phone first beginner go redmi 9 prime,1
77,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, good phone price segment hi honey kiss byebye kiss,4
78,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, phone hangs many times switch using watching video youtube incoming call doesnt show ringtone plays camera quality average phone performance average battery performance fine amazon services poor sends technician hard reset phone checks 4 5 minutes say ok performance hard reset 2 time 7 days hard reset every phone works perfectly times technician checks 5 10 minutes bad experience amazon services xiaomi product time,3
79,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, specification good enoughbought attending online classes smooth tried streaming videos ms office files seen lagsnot much gamer havent utilized 100 hwcharging time 3 hours lasts daycamera quality average1 major concern display phone operated outdoor brightness level low barely see anything sun light,4
80,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, bought october 2020 one day delivery amazon great always using device since detailed review redmi 9 built quality good overall feels midrange smartphone bit bulky hand due plastic back phone built decent processor stack helio g35 mediocre get job done provides adequate performance nothing fancy battery 5000 mah lasts roughly around whole day performing day day activities like streaming browsing downloading never tested games performance might differ case charging device heats significantly taking 0 took 5 hours make 100 bundled 10w slow charger ips hd display well havent got issues regarding color accuracy saturation viewing angles speakers decent great call quality cellular reception good par alternatives mi phones issues software part one also miui packed lot bloatware stuff security patches updated regularly overall update cycles indefinite update features stops working randomly ota update phone dropped signal kept restarting keyboard appeared focused inputbox etc etc overall laggy android experience camera really disappointing good daylight images bad hdr working properly images taken night even worsethese things found 5 months usage thanks,4
81,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, addicted amazon dont even remember half orders come take simple product exchange option return older phone problems entire process took 10 mins executive came took phone check things game new phone left amazing ,5
82,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, 4gb ram 64gb storagecolour blackdont buy mobile dont buy product image quality average comparing specification useless cameraand return policy replacing mobile big headache dont buy mobile,2
83,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, best phone 8999,5
84,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, checked second space feature available phone mi customer care saying second space service centre saying find better solution returning brand like mi misguiding customers hardware downgraded cannot handle second space removed feature phone available every phone running miui worst experience ever ,1
85,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, redmi 9 smartphone launched 27th august 2020 phone comes 653inch touchscreen display resolution 720x1600 pixels aspect ratio 209 redmi 9 powered octacore mediatek helio g35 processor comes 4gb ram redmi 9 runs android 10 powered 5000mah battery redmi 9 supports proprietary fast chargingas far cameras concerned redmi 9 rear packs 13megapixel primary camera f22 aperture second 2megapixel camera f24 aperture rear camera setup autofocus sports 5megapixel camera front selfies f22 aperture pixel size 112micronthe redmi 9 runs miui 12 based android 10 packs 64gb inbuilt storage expanded via microsd card 512gb dedicated slot redmi 9 dualsim gsm gsm smartphone accepts nanosim nanosim cards redmi 9 measures 16490 x 7707 x 900mm height x width x thickness weighs 19600 grams launched carbon black sporty orange sky blue coloursconnectivity options redmi 9 include wifi 80211 bgn gps bluetooth v500 microusb fm radio 3g 4g support band 40 used lte networks india sensors phone include accelerometer ambient light sensor proximity sensor fingerprint sensor redmi 9 supports face unlockas 24th october 2020 redmi 9 price india starts rs 8999,5
86,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, writing review 1 month useover mobile quite good price range camera quality poori would suggest dont buy phone go redmi 9 notepoor camera qualitybettery life goodmiui 12 android 10 good smooth performance dont hang normal usagescreen quality goodfinger sensor quickamazons 7 day replacement policy poor phone really defact get replaced model cant return buy another better model,3
87,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, price range want buy mobile online class children recommend product want buy mobile purposes recommend dont buy itand dont go youtube review really different buy knew wellso choice di,3
88,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, bought mother learning use 4gb64gb price really good touch responsive quick screen quality little dull sound output low compared redmi phones redmi needs work budget phones camera average camera centered phone network reception battery power good last 15 days normal usage overall good phone beginners elderly people start,4
89,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, dont like phone working mannerit self rebooting continually every 10secondsplease mark issue start rectifying device productionbecause service centres operated service manneractually manipulate customer instead resolving issuesmi service centre aggarwal plaza mangalam palace m2k sector3 rohini delhi ,1
90,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, bad experience mobile purchase mobile camera clearity good poor quality,1
91,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, camera good battery backup strong cost amazing phone,5
92,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, fast fingerprint reader large clear screen huge battery overall well built choose girlfriend doesnt play heavy games matter doesnt play games smartphons helio g35 4gb ram 64gb storage enough facebook insta 657inch hd display also great nonstop netflix media consumptions actually needed phone big screen finger print security plus good battery life lags redmi 9 great gift use realme x2pro im heavy user super amoled fhd 90hz display sureshot nessesity phone snapdragon 855 processer looking 35k first thought buy similar phone thought dont need much powerful phone gave exactly needed huge screen huge battery good camera decent processer 4gb ram multitasking 64gb storage photos songs videos yea option expanding memory phone doesnt stick 128gb,5
93,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, dear teams inform purchased redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core per friend request phone camera poor quality front back also main important attend meeting zoom webx 5 minutes showing screen cpu high uses please close app main motive purchase phone online class daughter poor performance definitely returns product purchase sick 10 day wise never keep phone helpless returns productthanksshashikant,1
94,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, bet redmi series phone doesnt need reviews always best budget pros lagging due bug fix updates usage apps otherwise redmi rockzzz,5
95,redmi 9 sky blue 4gb ram 64gb storage 5000 mah 23ghz mediatek helio g35 octa core processor,B08697N43N, sir ordered 5102020 received 9 th october yiu mentikned 5000mah bateert taking much time charging abd diwnload video 12 hour photo quality poor photosi put charger yesterday night 9 pm 49 today morning 7 pm wad completed 71,3
